focal_cusip,n_top_picks,saturated_share,single_tie_share,median_n_ties,max_n_ties,mean_sustained_share,fraction_with_persistence_signal
74762K,20,1.0,0.0,3.0,3,1.0,1.0
695542,20,1.0,0.0,3.0,3,1.0,1.0
780919,20,1.0,0.0,3.0,3,1.0,1.0
36874R,20,1.0,0.0,3.0,4,1.0,1.0
20268X,20,1.0,0.0,3.0,4,1.0,1.0
983024,20,1.0,0.0,3.0,3,1.0,1.0
191042,20,1.0,0.0,3.0,4,1.0,1.0
26784F,20,1.0,0.0,3.0,4,1.0,1.0
83080C,20,1.0,0.0,3.0,3,1.0,1.0
209232,20,1.0,0.0,3.0,4,1.0,1.0
29109X,20,1.0,0.0,3.0,4,1.0,1.0
94106P,20,1.0,0.0,3.0,4,1.0,1.0
457985,20,1.0,0.0,3.0,4,1.0,1.0
57776X,20,1.0,0.0,3.0,4,1.0,1.0
836301,20,1.0,0.0,3.0,4,1.0,1.0
731822,20,1.0,0.0,3.0,3,1.0,1.0
209615,20,1.0,0.0,3.0,3,1.0,1.0
05562T,20,1.0,0.0,3.0,4,1.0,1.0
458157,20,1.0,0.0,3.0,4,1.0,1.0
406216,20,1.0,0.0,3.0,3,1.0,1.0
012423,20,1.0,0.0,3.0,3,1.0,1.0
78463B,20,1.0,0.0,3.0,4,1.0,1.0
688582,20,1.0,0.0,3.0,4,1.0,1.0
401829,20,1.0,0.0,3.0,4,1.0,1.0
291206,20,1.0,0.0,3.0,3,1.0,1.0
28140H,20,1.0,0.0,3.0,3,1.0,1.0
00430L,20,1.0,0.0,3.0,3,1.0,1.0
731728,20,1.0,0.0,3.0,4,1.0,1.0
358340,20,1.0,0.0,3.0,4,1.0,1.0
412324,20,1.0,0.0,3.0,4,1.0,1.0
055467,20,1.0,0.0,3.0,4,1.0,1.0
583421,20,1.0,0.0,3.0,4,1.0,1.0
067846,20,1.0,0.0,3.0,4,1.0,1.0
540411,20,1.0,0.0,3.0,4,1.0,1.0
68370M,20,1.0,0.0,3.0,4,1.0,1.0
416187,20,1.0,0.0,3.0,4,1.0,1.0
436132,20,1.0,0.0,3.0,3,1.0,1.0
902169,20,1.0,0.0,3.0,3,1.0,1.0
670009,20,1.0,0.0,3.0,4,1.0,1.0
29358P,20,1.0,0.0,3.0,3,1.0,1.0
141619,20,1.0,0.0,3.0,4,1.0,1.0
45866V,20,1.0,0.0,3.0,3,1.0,1.0
49720P,20,1.0,0.0,3.0,4,1.0,1.0
279657,20,1.0,0.0,3.0,4,1.0,1.0
03069V,20,1.0,0.0,3.0,3,1.0,1.0
294069,20,1.0,0.0,3.0,4,1.0,1.0
67053T,20,1.0,0.0,3.0,3,1.0,1.0
237917,20,1.0,0.0,3.0,4,1.0,1.0
170021,20,1.0,0.0,3.0,3,1.0,1.0
46118H,20,1.0,0.0,3.0,4,1.0,1.0
67086E,20,1.0,0.0,3.0,4,1.0,1.0
809173,20,1.0,0.0,3.0,4,1.0,1.0
824851,20,1.0,0.0,3.0,3,1.0,1.0
402734,20,1.0,0.0,3.0,3,1.0,1.0
68212S,20,1.0,0.0,3.0,4,1.0,1.0
45816A,20,1.0,0.0,3.0,3,1.0,1.0
09064Q,20,1.0,0.0,3.0,3,1.0,1.0
297602,20,1.0,0.0,3.0,3,1.0,1.0
67061A,20,1.0,0.0,3.0,3,1.0,1.0
896726,20,1.0,0.0,3.0,3,1.0,1.0
00949P,20,1.0,0.0,3.0,4,1.0,1.0
72919P,20,1.0,0.0,3.0,4,1.0,1.0
840840,20,1.0,0.0,3.0,4,1.0,1.0
58439C,20,1.0,0.0,3.0,4,1.0,1.0
582828,20,1.0,0.0,3.0,3,1.0,1.0
345370,20,1.0,0.0,3.0,4,1.0,1.0
421933,20,1.0,0.0,3.0,3,1.0,1.0
808627,20,1.0,0.0,3.0,3,1.0,1.0
45072L,20,1.0,0.0,3.0,4,1.0,1.0
46467R,20,1.0,0.0,3.0,4,1.0,1.0
615394,20,1.0,0.0,3.0,4,1.0,1.0
949478,20,1.0,0.0,3.0,4,1.0,1.0
709762,20,1.0,0.0,3.0,3,1.0,1.0
40427A,20,1.0,0.0,3.0,4,1.0,1.0
761901,20,1.0,0.0,3.0,4,1.0,1.0
571748,20,1.0,0.0,3.0,3,1.0,1.0
969493,20,1.0,0.0,3.0,4,1.0,1.0
302941,20,1.0,0.0,3.0,4,1.0,1.0
885175,20,1.0,0.0,3.0,4,1.0,1.0
744378,20,1.0,0.0,3.0,4,1.0,1.0
